nivel,cobertura_fuera_pliegue,desvio,desplazamiento
0.5,0.5125,0.012499999999999956,-0.27322024321116345
0.57,0.5895833333333333,0.019583333333333397,-0.38439444263206385
0.59,0.6041666666666666,0.01416666666666666,-0.588519434550581
0.64,0.6645833333333333,0.02458333333333329,-0.5607445480067392
0.65,0.6645833333333333,0.014583333333333282,-0.4421151296082636
0.66,0.675,0.015000000000000013,-0.8337235905458048
0.67,0.6854166666666667,0.015416666666666634,-0.6908752597587947
0.68,0.69375,0.013749999999999929,-0.3302870305865868
0.72,0.7291666666666666,0.009166666666666656,-0.398758217831409
0.74,0.7541666666666667,0.01416666666666666,-0.6568325343529893
0.78,0.79375,0.013749999999999929,-0.41615342627974966
0.79,0.7979166666666667,0.007916666666666683,-0.32643419699836
0.8,0.8020833333333334,0.002083333333333326,-0.15392939328576788
0.81,0.8166666666666667,0.006666666666666599,-0.08940951383100965
0.9,0.925,0.025000000000000022,-1.4734615044509352
0.98,0.9833333333333333,0.0033333333333332993,-0.44057763257225224
0.99,0.9895833333333334,-0.0004166666666666208,-1.9636918648690525
